old_filename,new_filename,manufacturer,model,doctype,language,category_valid,notes
Unknown_Unknown_Manual_KO_4.pdf,Unknown_IOVIS-TECH-MANUAL-2014_SetupGuide_KO_v3.pdf,,IOVIS-TECH-MANUAL-2014,SetupGuide,KO,true,manufacturer unidentified
Unknown_Unknown_Manual_KO_5.pdf,Unknown_Unknown_MaintenanceManual_KO_v2.pdf,,,MaintenanceManual,KO,true,manufacturer unidentified; model unidentified
Unknown_Unknown_Manual_KO_6.pdf,Unknown_IOVIS-TECH-MANUAL-2014_SetupGuide_KO_v4.pdf,,IOVIS-TECH-MANUAL-2014,SetupGuide,KO,false,manufacturer unidentified
Unknown_Unknown_Manual_KO_7.pdf,Panasonic_FX-500_SetupGuide_KO_v2.pdf,Panasonic,FX-500,SetupGuide,KO,true,
Unknown_Unknown_Manual_KO_8.pdf,Unknown_Unknown_Manual_KO_v4.pdf,,,Manual,KO,true,manufacturer unidentified; model unidentified
Unknown_Unknown_Manual_KO_9.pdf,Unknown_MTBF_CommManual_KO_v2.pdf,,MTBF,CommManual,KO,true,manufacturer unidentified
Unknown_VERSION_MaintenanceManual_KO.pdf,Unknown_VERSION_Manual_KO.pdf,,VERSION,Manual,KO,true,manufacturer unidentified
Unknown_VERSION_Manual_KO.pdf,Unknown_VERSION_Manual_KO_v2.pdf,,VERSION,Manual,KO,true,manufacturer unidentified
Unknown_VJ1620HR_CommManual_KO.pdf,Videojet_VJ1620HR_CommManual_KO.pdf,Videojet,VJ1620HR,CommManual,KO,false,mfr inferred from model prefix
Unknown_VJ1620HR_Manual_KO.pdf,Videojet_VJ1620HR_CommManual_KO_v2.pdf,Videojet,VJ1620HR,CommManual,KO,false,mfr inferred from model prefix
Unknown_VJ7330_InstallGuide_KO.pdf,Videojet_VJ7330_InstallGuide_KO.pdf,Videojet,VJ7330,InstallGuide,KO,true,mfr inferred from model prefix
Unknown_XENON-1900SD_Manual_KO.pdf,Honeywell_XENON-1900SD_Manual_KO.pdf,Honeywell,XENON-1900SD,Manual,KO,false,mfr inferred from model prefix
